,RSS,adjKey,adjVal,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
79,2.24085,kTSC2Phos,2.25,0.624414,5.4736699999999985,0.0991429,23.0891,70.8572,4.12184,4.92686,98.3398,100.0,0.01,96.468,69.3648,2.89363,4.4623,0.0109074,100.0,127.1043
80,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
81,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
82,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
83,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
84,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
85,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
86,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
87,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
88,2.2549,kTSC2Phos,3.375,0.716059,5.50587,0.102225,23.3155,70.0797,4.15036,5.03944,99.0746,100.0,0.01,96.1194,68.8776,2.90571,4.37617,0.0110115,100.0,190.65645
