,RSS,kAktDephos,kAktPhos_kcat,kAktPhos_kcatB,kFourEBP1Dephos,kFourEBP1Phos,kFourEBP1PhosB,kIRS1Inact,kIRS1Phos,kPras40Dephos,kPras40Phos,kS6KDephos,kS6KPhos,kS6KPhosB,kTORPRAS,kTORTSC,kTSC2Dephos,kTSC2Phos
16,2.23322,8.93465,93.3672,1.64435,46.0151,99.9999,7.4111,1.17974,42.9538,100.0,0.01,99.9826,30.4127,1.63705,3.55271,0.01,25.1282,15.2099
17,2.23322,7.3478,76.7844,1.3523,4.90991,40.2265,0.905291,0.0941686,1.82584,100.0,0.01,6.26399,11.8898,0.195406,12.195,1.00871,45.5726,27.5853
18,2.23322,0.558396,5.83524,0.102768,0.493779,7.0397,0.108467,4.83905,55.7587,100.0,0.01,16.1478,76.3704,0.866066,16.5139,0.377767,34.3503,20.7922
19,2.23322,9.02108,94.2736,1.6602599999999998,1.93927,67.0313,0.277302,0.37438,45.0933,99.9999,0.01,11.8512,19.3854,0.0579942,75.92699999999998,15.3447,52.8049,31.9631
20,2.23322,9.14241,95.5381,1.6825900000000005,9.08575,35.1564,1.71999,5.65897,99.9989,100.0,0.01,85.485,82.0566,2.9349,5.25035,0.01,78.5609,47.5522
21,2.23322,5.07022,52.9839,0.933134,3.86778,33.7523,0.594982,0.508991,25.6545,100.0,0.01,23.0987,21.278,0.271969,16.9535,2.62927,24.3752,14.7543
22,2.23322,7.675389999999998,80.2079,1.41259,3.31609,51.7492,0.762455,9.673,99.9891,100.0,0.01,12.8887,71.3406,0.775334,16.8418,0.0100197,29.5115,17.8635
23,2.23322,9.5694,100.0,1.76117,12.1243,79.4616,2.53606,4.0216699999999985,52.5879,100.0,0.01,25.4714,51.0408,1.19621,7.91229,0.01,15.053,9.11168
24,2.23322,9.42203,98.4603,1.73405,1.85266,17.4548,0.406649,6.1326,70.8004,100.0,0.01,17.6647,55.1433,0.9455,10.7449,0.01,63.0713,38.177
25,2.23322,6.296869999999998,65.8022,1.15889,14.1103,77.3508,2.8658900000000003,7.0454,99.9997,100.0,0.01,13.8354,21.9498,0.596388,6.8510399999999985,0.01,13.2679,8.03106
26,2.23322,7.365469999999998,76.97,1.35556,3.0154400000000003,39.7597,0.550081,1.72836,34.8598,100.0,0.01,16.9959,50.4084,0.5090640000000001,20.2717,2.18381,40.0312,24.2306
27,2.23322,9.56933,100.0,1.7611599999999998,9.88913,99.9956,2.1876,3.28772,37.2352,100.0,0.01,7.56084,25.6388,0.412959,11.4259,0.01,51.6418,31.2583
28,2.23322,5.9032300000000015,61.69,1.08644,5.1493,72.1086,0.852049,1.18935,37.0306,100.0,0.01,31.1606,69.6489,0.598292,24.8425,3.61664,60.8427,36.8281
29,2.23322,9.24774,96.6389,1.70197,9.06833,92.0454,1.85942,5.3075800000000015,73.3294,100.0,0.01,33.1488,99.1644,1.4697,12.9483,0.560415,37.9715,22.9841
30,2.23322,9.531,99.5978,1.7541,36.6206,99.8694,6.33186,1.81305,45.5523,100.0,0.01,86.0215,44.5285,2.05621,4.10971,0.01,39.7002,24.0305
31,2.23322,9.39285,98.1545,1.72868,21.8569,79.5822,4.07905,0.634954,11.7798,100.0,0.01,25.1319,21.9125,0.820508,5.02325,0.01,20.2532,12.259
32,2.23322,4.24094,44.3178,0.780511,12.0371,99.5665,2.5015,2.93863,39.1139,100.0,0.01,25.7769,64.4278,1.18828,10.2323,0.241013,70.7046,42.7973
33,2.23322,3.75491,39.2389,0.691062,4.54086,19.2648,0.8773290000000001,4.08484,67.4844,100.0,0.01,39.321,43.4361,1.44743,5.6214,0.01,33.8327,20.4789
34,2.23322,3.50695,36.6476,0.645426,19.1789,56.1305,3.38331,2.04659,47.1398,100.0,0.01,66.7918,39.7232,1.7453,4.30958,0.01,6.49581,3.93192
35,2.23322,5.7904800000000005,60.5104,1.06569,22.9249,91.0727,4.3658199999999985,5.77406,100.0,100.0,0.01,100.0,99.9999,3.50546,5.35309,0.01,24.5567,14.8641
