,RSS,AAB,InsulinB,PI3K_T_MCF7,RICTOR_T_MCF7,RPTOR_T_MCF7,kAktByTor2Dephos,kAktByTor2Phos,kAktDephos,kAktPhos_kcat,kFourEBP1Dephos,kFourEBP1Phos,kIRS1Act,kIRS1Inact,kIRS1Phos,kPI3KDephos,kPI3KPhos,kPras40Dephos,kPras40Phos,kRAS,kS6KDephos,kS6KPhos,kTSC2Dephos,kTSC2Phos,kTSC2PhosBoost,kmTORC1Dephos,kmTORC1LysToCyt,kmTORC1Phos,kmTORC1_Dis,kmTORC1cytToLys,kmTORC2Dephos,kmTORC2DephosByS6K,kmTORC2_Dis,kmTOR_RIC_Comb,kmTOR_RPT_Comb,mTOR_T_MCF7
186,0.919725,0.406043,0.30078,29.0885,0.0294552,11.0808,6.12876,0.22950399999999999,58.1089,20.7956,5.55816,0.214667,0.120576,100.0,96.8067,59.0032,0.13467300000000001,0.01,2.65421,2.67995,22.133000000000003,53.0162,0.025535299999999997,0.01,0.0100032,55.3352,1.6892599999999998,8.34609,21.4657,3.8537199999999996,4.26704,17.2959,3.8588699999999996,66.3959,73.1341,11.1346
187,0.919726,0.3862,0.301541,0.036767,72.1538,35.3879,1.6226,0.827882,10.2942,0.11083,62.9842,0.07967719999999999,0.0101473,10.9458,76.532,99.9615,0.0116586,0.100954,4.35098,0.8189350000000001,48.8628,25.9377,5.44663,23.1499,2.77105,13.5699,62.9772,12.9763,97.208,33.9096,20.3368,19.8574,13.4681,1.6556,36.5792,88.6218
188,0.919726,0.491014,0.301544,0.142402,24.4643,3.4981,0.6292399999999999,0.013068000000000001,98.0656,17.7173,98.1708,0.653501,0.0100852,71.2293,10.3429,79.0378,0.0100161,0.06261080000000001,0.026413599999999995,2.6116099999999998,2.17065,35.774,11.8331,4.04659,17.3678,31.5796,22.711,11.7517,0.810082,0.341179,3.19697,18.5525,6.48601,0.61479,6.6858,25.1815
189,0.919726,0.43262399999999995,0.301035,0.012978299999999998,10.3302,1.29015,0.49217299999999997,0.0489326,25.0372,33.6524,8.09216,9.89437,0.012061399999999998,19.2413,6.31842,67.9536,0.0104501,0.0429805,3.50984,5.56613,1.03417,11.8368,18.3813,68.1552,10.0884,3.2009,54.9343,30.3919,4.64774,1.3064200000000001,8.29534,14.1874,6.49178,4.070530000000001,4.24601,4.15073
190,0.919726,0.318338,0.2992,0.0704069,9.03471,69.6239,3.15714,20.3505,17.9146,12.2564,100.0,2.9523099999999998,0.0613193,13.1917,27.8821,75.5239,0.0124165,0.029912599999999998,0.21434099999999998,3.16017,21.2198,6.09103,9.8235,34.4535,10.4224,7.29893,11.2825,12.8535,0.07615330000000001,1.7747,5.86439,4.75755,1.10025,12.9253,26.314,7.49308
191,0.9197280000000001,0.37461300000000003,0.192688,0.027598599999999997,6.49924,92.323,11.0443,16.5334,80.8,0.254827,83.0672,0.6731090000000001,9.8081,41.5755,59.2054,99.9872,0.0100006,0.479588,0.87589,68.5435,36.7944,20.3992,35.3526,0.01,40.4139,77.5444,9.373,18.2524,2.4392,2.53324,16.3678,97.0433,29.2624,18.748,96.5435,16.4338
192,0.919732,0.284688,0.296568,4.6396,0.671663,23.0928,18.7233,48.4457,7.98273,4.14962,100.0,2.21125,0.0417651,3.32665,29.4351,32.7856,0.177312,0.0132911,0.12406600000000001,5.67169,94.9665,52.0061,0.0907079,99.7693,51.8928,29.4137,1.06134,1.55721,16.8072,26.6227,0.034962900000000005,0.06038480000000001,21.7068,36.9205,18.6216,73.0286
193,0.919737,1.83274,0.301748,0.44078,11.6602,12.6336,16.7344,2.25658,5.74233,50.8679,61.5106,0.039642199999999995,0.010391899999999999,29.6931,38.5265,27.0664,0.600288,0.0258241,0.0610571,26.8191,1.16254,32.6919,0.175951,100.0,90.0206,92.3298,10.5842,15.7325,0.0263939,0.0102443,48.8249,1.7068299999999998,45.7684,13.6691,9.08159,48.795
194,0.919745,0.465371,0.0926332,2.55375,49.4684,1.82085,80.3256,4.377730000000001,4.94995,5.643009999999999,15.6823,0.0752898,18.3767,42.9792,16.5003,94.9894,0.0100157,0.05973150000000001,0.0543519,11.8715,30.3483,96.3718,1.0228700000000002,99.9534,99.9991,7.48337,0.363736,50.13,37.1878,3.6225,7.1528,6.338830000000001,1.59555,91.9234,15.1538,99.7167
195,0.919748,1.27007,0.143137,45.044,1.56334,10.2271,3.43545,12.4209,5.54785,2.89062,27.1019,0.0285126,5.458069999999999,7.09886,39.6024,99.9431,0.014450999999999999,0.21667600000000004,0.0499988,6.6947,9.897780000000001,62.7712,2.7968,100.0,100.0,99.8574,34.0177,38.5966,8.28824,0.800059,5.5728800000000005,0.01,4.33449,88.96600000000001,45.8201,3.04708
196,0.919781,1.1836799999999998,0.25104899999999997,13.4604,43.402,13.1503,9.89485,36.7512,8.93671,9.91206,85.6427,0.010384000000000001,0.051213,0.319718,31.9669,100.0,1.37419,0.01,0.294389,4.92476,11.478,60.3697,0.6103689999999999,20.0249,80.3935,95.2666,9.3541,1.0668600000000001,2.1078099999999997,2.71555,1.6632,1.60039,49.7443,8.90738,11.0466,11.4385
197,0.9198059999999999,0.7324579999999999,0.06990489999999999,58.9542,62.4383,20.8386,68.4352,6.48726,99.9962,33.1181,77.4149,8.00169,40.1934,16.2201,94.8545,99.9955,0.0227726,0.329925,0.0100019,40.1101,2.99237,94.8643,6.18741,99.9997,99.9992,26.4118,17.8128,0.01,0.148769,18.3052,20.2268,18.9326,9.866660000000001,1.77345,80.4124,82.2842
198,0.9777540000000001,0.195545,0.101631,1.39605,0.15696300000000002,6.63015,46.1718,2.19532,86.9386,0.01,0.5587340000000001,0.389751,40.3524,99.4813,79.6086,100.0,0.01,39.2155,0.02,18.9748,11.5978,25.3845,60.2699,0.0114074,5.54685,97.3804,7.44945,43.1802,95.0097,92.4498,0.186967,32.7282,0.328408,49.0592,4.20423,31.0043
199,0.9777549999999999,0.38649,0.029962799999999998,18.7563,6.15894,58.0623,34.9965,74.2448,100.0,7.57815,47.7352,0.21274099999999999,41.731,8.416139999999999,70.6118,92.7059,0.01,80.4481,0.0758587,34.8174,99.4021,24.2242,0.0130197,20.6587,50.5677,15.9044,58.1916,11.8701,31.3034,38.0048,6.55112,40.8457,7.27107,12.3898,9.56193,21.5818
